DATE,GDP
01-01-2015,18063.529
01-04-2015,18279.784
01-07-2015,18401.626
01-10-2015,18435.137
01-01-2016,18525.933
01-04-2016,18711.702
01-07-2016,18892.639
01-10-2016,19089.379
01-01-2017,19280.084
01-04-2017,19438.643
01-07-2017,19692.595
01-10-2017,20037.088
01-01-2018,20328.553
01-04-2018,20580.912
01-07-2018,20798.73
01-10-2018,20917.867
01-01-2019,21111.6
01-04-2019,21397.938
01-07-2019,21717.171
01-10-2019,21933.217
01-01-2020,21727.657
01-04-2020,19935.444
01-07-2020,21684.551
01-10-2020,22068.767
01-01-2021,22656.793
01-04-2021,23368.861
01-07-2021,23921.991
01-10-2021,24777.038
01-01-2022,25215.491
01-04-2022,25805.791
01-07-2022,26272.011
01-10-2022,26734.277
01-01-2023,27164.359
01-04-2023,27453.815
01-07-2023,27967.697
01-10-2023,28296.967
01-01-2024,28624.069
01-04-2024,29016.714
01-07-2024,29374.914
01-10-2024,29723.864
