,GDP,Unemployment_Rate,Inflation_Rate,Interest_Rate
01-01-2015,18063.529,5.7,,0.11
01-02-2015,18063.529,5.5,,0.11
01-03-2015,18063.529,5.4,,0.11
01-04-2015,18279.784,5.4,,0.12
01-05-2015,18279.784,5.6,,0.12
01-06-2015,18279.784,5.3,,0.13
01-07-2015,18401.626,5.2,,0.13
01-08-2015,18401.626,5.1,,0.14
01-09-2015,18401.626,5,,0.14
01-10-2015,18435.137,5,,0.12
01-11-2015,18435.137,5.1,,0.12
01-12-2015,18435.137,5,,0.24
01-01-2016,18525.933,4.8,1.237502503,0.34
01-02-2016,18525.933,4.9,0.847277579,0.38
01-03-2016,18525.933,5,0.891616097,0.36
01-04-2016,18711.702,5.1,1.17262575,0.37
01-05-2016,18711.702,4.8,1.078476462,0.37
01-06-2016,18711.702,4.9,1.079286535,0.38
01-07-2016,18892.639,4.8,0.868363343,0.39
01-08-2016,18892.639,4.9,1.05531586,0.4
01-09-2016,18892.639,5,1.54864462,0.4
01-10-2016,19089.379,4.9,1.685924966,0.4
01-11-2016,19089.379,4.7,1.684333472,0.41
01-12-2016,19089.379,4.7,2.050798912,0.54
01-01-2017,19280.084,4.7,2.510393348,0.65
01-02-2017,19280.084,4.6,2.810361681,0.66
01-03-2017,19280.084,4.4,2.441196237,0.79
01-04-2017,19438.643,4.4,2.176223472,0.9
01-05-2017,19438.643,4.4,1.856343167,0.91
01-06-2017,19438.643,4.3,1.64056581,1.04
01-07-2017,19692.595,4.3,1.725107351,1.15
01-08-2017,19692.595,4.4,1.928121557,1.16
01-09-2017,19692.595,4.3,2.18056523,1.15
01-10-2017,20037.088,4.2,2.020757753,1.15
01-11-2017,20037.088,4.2,2.172493864,1.16
01-12-2017,20037.088,4.1,2.12993072,1.3
01-01-2018,20328.553,4,2.151318868,1.41
01-02-2018,20328.553,4.1,2.263468931,1.42
01-03-2018,20328.553,4,2.330949765,1.51
01-04-2018,20580.912,4,2.470996302,1.69
01-05-2018,20580.912,3.8,2.781921608,1.7
01-06-2018,20580.912,4,2.807550694,1.82
01-07-2018,20798.73,3.8,2.854124786,1.91
01-08-2018,20798.73,3.8,2.642923857,1.91
01-09-2018,20798.73,3.7,2.332055106,1.95
01-10-2018,20917.867,3.8,2.49203247,2.19
01-11-2018,20917.867,3.8,2.147328578,2.2
01-12-2018,20917.867,3.9,2.002380904,2.27
01-01-2019,21111.6,4,1.487589358,2.4
01-02-2019,21111.6,3.8,1.518861535,2.4
01-03-2019,21111.6,3.8,1.883186351,2.41
