DATE,UNRATE
01-01-2015,5.7
01-02-2015,5.5
01-03-2015,5.4
01-04-2015,5.4
01-05-2015,5.6
01-06-2015,5.3
01-07-2015,5.2
01-08-2015,5.1
01-09-2015,5
01-10-2015,5
01-11-2015,5.1
01-12-2015,5
01-01-2016,4.8
01-02-2016,4.9
01-03-2016,5
01-04-2016,5.1
01-05-2016,4.8
01-06-2016,4.9
01-07-2016,4.8
01-08-2016,4.9
01-09-2016,5
01-10-2016,4.9
01-11-2016,4.7
01-12-2016,4.7
01-01-2017,4.7
01-02-2017,4.6
01-03-2017,4.4
01-04-2017,4.4
01-05-2017,4.4
01-06-2017,4.3
01-07-2017,4.3
01-08-2017,4.4
01-09-2017,4.3
01-10-2017,4.2
01-11-2017,4.2
01-12-2017,4.1
01-01-2018,4
01-02-2018,4.1
01-03-2018,4
01-04-2018,4
01-05-2018,3.8
01-06-2018,4
01-07-2018,3.8
01-08-2018,3.8
01-09-2018,3.7
01-10-2018,3.8
01-11-2018,3.8
01-12-2018,3.9
01-01-2019,4
01-02-2019,3.8
01-03-2019,3.8
01-04-2019,3.7
01-05-2019,3.6
01-06-2019,3.6
01-07-2019,3.7
01-08-2019,3.6
01-09-2019,3.5
01-10-2019,3.6
01-11-2019,3.6
01-12-2019,3.6
01-01-2020,3.6
01-02-2020,3.5
01-03-2020,4.4
01-04-2020,14.8
01-05-2020,13.2
01-06-2020,11
01-07-2020,10.2
01-08-2020,8.4
01-09-2020,7.8
01-10-2020,6.9
01-11-2020,6.7
01-12-2020,6.7
01-01-2021,6.4
01-02-2021,6.2
01-03-2021,6.1
01-04-2021,6.1
01-05-2021,5.8
01-06-2021,5.9
01-07-2021,5.4
01-08-2021,5.1
01-09-2021,4.7
01-10-2021,4.5
01-11-2021,4.2
01-12-2021,3.9
01-01-2022,4
01-02-2022,3.8
01-03-2022,3.7
01-04-2022,3.7
01-05-2022,3.6
01-06-2022,3.6
01-07-2022,3.5
01-08-2022,3.6
01-09-2022,3.5
01-10-2022,3.6
01-11-2022,3.6
01-12-2022,3.5
01-01-2023,3.5
01-02-2023,3.6
01-03-2023,3.5
01-04-2023,3.4
01-05-2023,3.6
01-06-2023,3.6
01-07-2023,3.5
01-08-2023,3.7
01-09-2023,3.8
01-10-2023,3.9
01-11-2023,3.7
01-12-2023,3.8
01-01-2024,3.7
01-02-2024,3.9
01-03-2024,3.9
01-04-2024,3.9
01-05-2024,4
01-06-2024,4.1
01-07-2024,4.2
01-08-2024,4.2
01-09-2024,4.1
01-10-2024,4.1
01-11-2024,4.2
01-12-2024,4.1
